Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-11,1,00:00-00:15,1183.485,1094,0,0,0,0,"",1085.16,487.885978,50.01,8253
2020-05-11,2,00:15-00:30,1197.633,1173,0,0,0,0,"",1085.16,486.796278,50.04,8220
2020-05-11,3,00:30-00:45,1219.279,1197,0,0,0,0,"",1085.16,486.646516,50.04,8126
2020-05-11,4,00:45-01:00,1251.308,1250,0,0,0,0,"",1085.16,478.519613,50.02,8057
2020-05-11,5,01:00-01:15,1331.740,1295,0,0,0,0,"",1085.16,480.47469,50.03,7947
2020-05-11,6,01:15-01:30,1362.522,1328,0,0,0,0,"",1085.16,480.498008,50.04,7863
2020-05-11,7,01:30-01:45,1336.628,1348,0,0,0,0,"",1085.16,477.511167,50.03,7783
2020-05-11,8,01:45-02:00,1317.795,1367,0,0,0,0,"",1085.16,716.208136,50.04,7722
2020-05-11,9,02:00-02:15,1307.231,1379,0,0,0,0,"",1085.16,784.941599,50.06,7638
2020-05-11,10,02:15-02:30,1304.131,1358,0,0,0,0,"",1085.16,785.863539,50.04,7572
2020-05-11,11,02:30-02:45,1333.821,1284,0,0,0,0,"",1085.16,956.298051,50.05,7458
2020-05-11,12,02:45-03:00,1328.358,1238,0,0,0,0,"",1085.16,957.873932,50.04,7397
2020-05-11,13,03:00-03:15,1393.249,1164,0,0,0,0,"",1085.16,968.183607,50.01,7275
2020-05-11,14,03:15-03:30,1387.237,1057,0,0,0,0,"",1085.16,966.518366,50.02,7230
2020-05-11,15,03:30-03:45,1368.989,938,0,0,0,0,"",1085.16,968.327136,50.03,7161
2020-05-11,16,03:45-04:00,1321.674,832,0,0,0,0,"",1085.16,975.334071,50.07,7091
2020-05-11,17,04:00-04:15,1327.477,752,0,0,0,0,"",1085.16,964.658854,50.12,6970
2020-05-11,18,04:15-04:30,1286.390,709,0,0,0,0,"",1085.16,719.245382,50.10,7115
2020-05-11,19,04:30-04:45,1217.986,689,0,0,0,0,"",1085.16,560.275193,50.06,7228
2020-05-11,20,04:45-05:00,1191.507,659,0,0,0,0,"",1015.16,459.788219,50.02,7348
2020-05-11,21,05:00-05:15,1104.081,624,0,0,0,0,"",788.17,378.658056,49.99,7425
2020-05-11,22,05:15-05:30,1082.872,636,0,0,0,0,"",693.5,292.845004,49.99,7716
2020-05-11,23,05:30-05:45,1012.084,665,0,0,0,0,"",648.5,274.466503,50.04,7961
2020-05-11,24,05:45-06:00,954.727,702,0,0,0,0,"",603.5,274.424027,50.04,8046
2020-05-11,25,06:00-06:15,918.635,743,0,0,0,0,"",603.5,277.541727,50.04,8355
2020-05-11,26,06:15-06:30,908.937,777,0,0,0,0,"",648.5,277.541727,50.07,8823
2020-05-11,27,06:30-06:45,940.620,797,0,0,0,0,"",693.5,374.355256,50.05,9113
2020-05-11,28,06:45-07:00,1003.732,811,0,0,0,0,"",693.5,374.364977,50.04,9305
2020-05-11,29,07:00-07:15,1124.913,875,0,0,0,0,"",849.84,374.355256,50.02,9591
2020-05-11,30,07:15-07:30,1225.255,940,0,0,0,0,"",917.84,373.968777,50.04,9825
2020-05-11,31,07:30-07:45,1391.161,1057,0,0,0,0,"",917.84,373.927881,50.05,9924
2020-05-11,32,07:45-08:00,1534.232,1204,0,0,0,0,"",760.84,374.953632,50.04,9942
2020-05-11,33,08:00-08:15,1661.862,1310,0,0,0,0,"",693.5,374.93941,50.02,9977
2020-05-11,34,08:15-08:30,1808.282,1447,0,0,0,0,"",849.84,374.949858,50.05,10072
2020-05-11,35,08:30-08:45,1951.807,1595,0,0,0,0,"",917.84,374.798749,50.03,9956
2020-05-11,36,08:45-09:00,2077.245,1725,0,0,0,0,"",917.84,374.612745,50.04,9951
