Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-15,1,00:00-00:15,1179.893,1134,0,0,0,0,"",366.18,492.623418,50.01,8655
2020-05-15,2,00:15-00:30,1184.584,1041,0,0,0,0,"",366.18,494.305838,50.01,8575
2020-05-15,3,00:30-00:45,1181.771,995,0,0,0,0,"",366.18,494.413206,50.00,8511
2020-05-15,4,00:45-01:00,1230.269,870,0,0,0,0,"",366.18,494.577527,50.01,8469
2020-05-15,5,01:00-01:15,1291.310,790,0,0,0,0,"",366.18,514.207672,50.03,8376
2020-05-15,6,01:15-01:30,1294.643,708,0,0,0,0,"",366.18,514.207672,50.03,8314
2020-05-15,7,01:30-01:45,1142.811,674,0,0,0,0,"",366.18,514.207672,50.02,8267
2020-05-15,8,01:45-02:00,1102.636,639,0,0,0,0,"",366.18,508.619079,50.01,8202
2020-05-15,9,02:00-02:15,1082.853,555,0,0,0,0,"",366.18,494.461793,49.97,8052
2020-05-15,10,02:15-02:30,1052.813,551,0,0,0,0,"",366.18,512.536913,50.03,8017
2020-05-15,11,02:30-02:45,1028.267,558,0,0,0,0,"",366.18,499.659392,50.03,7979
2020-05-15,12,02:45-03:00,979.894,635,0,0,0,0,"",366.18,497.757709,50.01,7840
2020-05-15,13,03:00-03:15,848.978,799,0,0,0,0,"",443.18,514.615531,50.00,7790
2020-05-15,14,03:15-03:30,838.077,866,0,0,0,0,"",571.03,503.744487,50.02,7816
2020-05-15,15,03:30-03:45,823.964,887,0,0,0,0,"",692.03,594.039085,50.03,7902
2020-05-15,16,03:45-04:00,947.074,844,0,0,0,0,"",776.03,705.278707,50.05,7771
2020-05-15,17,04:00-04:15,952.394,808,0,0,0,0,"",837.03,823.528803,50.02,7659
2020-05-15,18,04:15-04:30,917.581,767,0,0,0,0,"",837.03,745.201833,50.04,7835
2020-05-15,19,04:30-04:45,897.594,768,0,0,0,0,"",837.03,620.023102,50.05,7886
