Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-25,1,00:00-00:15,2331.446,1980,0,0,0,0,"",222.5,597.101928,49.95,10017
2020-05-25,2,00:15-00:30,2363.209,1926,0,0,0,0,"",222.5,597.101928,49.98,9932
2020-05-25,3,00:30-00:45,2360.763,1913,0,0,0,0,"",222.5,597.498128,50.02,9882
2020-05-25,4,00:45-01:00,2354.164,1883,0,0,0,0,"",222.5,612.714668,50.00,9771
2020-05-25,5,01:00-01:15,2296.302,1866,0,0,0,0,"",322.5,597.606312,50.01,9643
2020-05-25,6,01:15-01:30,2228.230,1773,0,0,0,0,"",422.5,597.606312,50.03,9564
2020-05-25,7,01:30-01:45,2135.156,1720,0,0,0,0,"",422.5,611.238186,50.02,9535
2020-05-25,8,01:45-02:00,2135.244,1668,0,0,0,0,"",438.5,611.130003,50.04,9462
2020-05-25,9,02:00-02:15,2126.823,1640,0,0,0,0,"",596,611.323215,50.05,9406
2020-05-25,10,02:15-02:30,2126.275,1581,0,0,0,0,"",673,605.996592,50.03,9356
2020-05-25,11,02:30-02:45,2034.632,1548,0,0,0,0,"",732.85,605.996592,50.03,9330
2020-05-25,12,02:45-03:00,2010.659,1513,0,0,0,0,"",792.85,721.507703,50.02,9244
2020-05-25,13,03:00-03:15,1857.147,1465,0,0,0,0,"",816.85,661.946659,50.00,9086
2020-05-25,14,03:15-03:30,1829.100,1449,0,0,0,0,"",816.85,633.953884,50.01,9045
2020-05-25,15,03:30-03:45,1816.339,1403,0,0,0,0,"",816.85,634.202092,50.00,8949
2020-05-25,16,03:45-04:00,1802.687,1392,0,0,0,0,"",816.85,646.512626,50.02,8869
2020-05-25,17,04:00-04:15,1757.400,1364,0,0,0,0,"",816.85,652.759821,49.96,8731
2020-05-25,18,04:15-04:30,1736.845,1333,0,0,0,0,"",816.85,539.519087,49.96,8980
2020-05-25,19,04:30-04:45,1613.570,1334,0,0,0,0,"",816.85,538.072046,49.94,9111
2020-05-25,20,04:45-05:00,1576.808,1314,0,0,0,0,"",599.85,517.795551,49.95,9230
2020-05-25,21,05:00-05:15,1556.330,1253,0,0,0,0,"",398.35,522.130843,49.95,9399
2020-05-25,22,05:15-05:30,1538.640,1209,0,0,0,0,"",237.5,432.495629,49.93,9522
2020-05-25,23,05:30-05:45,1484.924,1154,0,0,0,0,"",93.5,296.338677,50.01,9798
2020-05-25,24,05:45-06:00,1416.764,1081,0,0,0,0,"",51.5,281.478184,49.96,10047
2020-05-25,25,06:00-06:15,1303.516,1047,0,0,0,0,"",14.5,274.926555,50.02,10270
2020-05-25,26,06:15-06:30,1288.280,1035,0,0,0,0,"",0,265.148038,50.01,10893
2020-05-25,27,06:30-06:45,1336.420,1058,0,0,0,0,"",0,257.820127,50.01,11062
2020-05-25,28,06:45-07:00,1414.745,1078,0,0,0,0,"",0,256.672627,50.03,11247
2020-05-25,29,07:00-07:15,1532.267,1111,0,0,0,0,"",0,255.525127,50.00,11534
2020-05-25,30,07:15-07:30,1615.614,1199,0,0,0,0,"",0,253.981427,50.01,11700
2020-05-25,31,07:30-07:45,1626.998,1328,0,0,0,0,"",0,252.833927,50.02,11619
2020-05-25,32,07:45-08:00,1753.349,1437,0,0,0,0,"",0,250.538927,50.03,11707
