Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-24,1,00:00-00:15,2040.72,1716.88,0,0,0,0,"",255.6,587.87,49.99,10092.64
2020-05-24,2,00:15-00:30,2046.37,1666.30,0,0,0,0,"",255.6,600.26,49.98,10015.72
2020-05-24,3,00:30-00:45,2019.98,1590.70,0,0,0,0,"",255.6,604.67,50.01,9957.06
2020-05-24,4,00:45-01:00,2000.54,1507.27,0,0,0,0,"",255.6,611.14,50.00,9889.90
2020-05-24,5,01:00-01:15,1939.44,1408.11,0,0,0,0,"",255.6,623.93,50.00,9762.63
2020-05-24,6,01:15-01:30,1913.72,1362.72,0,0,0,0,"",255.6,620.22,50.01,9693.49
2020-05-24,7,01:30-01:45,1796.59,1354.63,0,0,0,0,"",255.6,619.77,50.01,9663.77
2020-05-24,8,01:45-02:00,1788.19,1361.60,0,0,0,0,"",255.6,519.95,50.02,9580.91
2020-05-24,9,02:00-02:15,1788.21,1351.79,0,0,0,0,"",255.6,503.94,50.01,9482.31
2020-05-24,10,02:15-02:30,1726.31,1331.48,0,0,0,0,"",255.6,499.21,50.00,9424.92
2020-05-24,11,02:30-02:45,1708.95,1312.69,0,0,0,0,"",400.6,600.51,50.00,9300.92
2020-05-24,12,02:45-03:00,1718.62,1289.49,0,0,0,0,"",545.6,629.05,50.01,9190.94
2020-05-24,13,03:00-03:15,1510.55,1274.49,0,0,0,0,"",668.6,634.18,50.00,9105.79
2020-05-24,14,03:15-03:30,1505.69,1282.00,0,0,0,0,"",795.6,634.18,50.01,9127.36
2020-05-24,15,03:30-03:45,1509.54,1271.97,0,0,0,0,"",855.6,738.95,49.99,9041.20
2020-05-24,16,03:45-04:00,1495.54,1254.50,0,0,0,0,"",940.45,738.95,50.00,8914.43
2020-05-24,17,04:00-04:15,1484.62,1237.90,0,0,0,0,"",1003.45,709.63,49.98,8694.04
2020-05-24,18,04:15-04:30,1486.21,1247.92,0,0,0,0,"",1066.45,709.63,49.93,8878.90
2020-05-24,19,04:30-04:45,1464.98,1229.51,0,0,0,0,"",1003.45,709.63,49.94,9001.85
2020-05-24,20,04:45-05:00,1449.97,1194.19,0,0,0,0,"",940.45,597.46,49.95,9175.29
2020-05-24,21,05:00-05:15,1433.80,1139.34,0,0,0,0,"",565.45,489.70,49.98,9316.91
2020-05-24,22,05:15-05:30,1410.67,1114.43,0,0,0,0,"",332.95,298.32,50.00,9682.63
2020-05-24,23,05:30-05:45,1398.28,1073.88,0,0,0,0,"",209.6,298.32,50.02,9849.38
2020-05-24,24,05:45-06:00,1342.69,1058.17,0,0,0,0,"",173.6,298.78,50.03,9980.78
2020-05-24,25,06:00-06:15,1283.78,935.57,0,0,0,0,"",173.6,301.25,49.97,10225.08
2020-05-24,26,06:15-06:30,1291.18,899.89,0,0,0,0,"",173.5,301.25,49.95,10657.55
2020-05-24,27,06:30-06:45,1343.92,910.27,0,0,0,0,"",173.5,301.25,50.03,10953.56
2020-05-24,28,06:45-07:00,1410.25,953.16,0,0,0,0,"",173.5,301.25,50.05,11104.00
2020-05-24,29,07:00-07:15,1489.78,1025.37,0,0,0,0,"",173.5,301.25,50.03,11270.61
2020-05-24,30,07:15-07:30,1588.52,1001.84,0,0,0,0,"",173.5,300.86,50.03,11418.16
2020-05-24,31,07:30-07:45,1713.24,1047.56,0,0,0,0,"",173.5,300.86,50.04,11396.80
2020-05-24,32,07:45-08:00,1822.75,1133.23,0,0,0,0,"",173.5,300.86,50.04,11502.86
2020-05-24,33,08:00-08:15,1938.64,1244.88,0,0,0,0,"",173.5,300.39,50.06,11526.86
2020-05-24,34,08:15-08:30,2047.43,1353.08,0,0,0,0,"",173.5,300.39,50.03,11519.49
2020-05-24,35,08:30-08:45,2156.29,1474.90,0,0,0,0,"",173.5,300.39,50.03,11534.32
2020-05-24,36,08:45-09:00,2271.60,1601.99,0,0,0,0,"",173.5,300.00,49.99,11487.15
2020-05-24,37,09:00-09:15,2202.68,1691.33,0,0,0,0,"",173.5,301.85,50.01,11591.86
2020-05-24,38,09:15-09:30,2280.51,1772.56,0,0,0,0,"",173.5,301.85,50.00,11644.41
2020-05-24,39,09:30-09:45,2378.78,1854.11,0,0,0,0,"",173.5,301.85,50.05,11519.68
2020-05-24,40,09:45-10:00,2499.44,1944.71,0,0,0,0,"",173.5,301.85,50.02,11625.52
2020-05-24,41,10:00-10:15,2597.83,2037.95,0,0,0,0,"",173.5,301.10,49.99,11340.40
2020-05-24,42,10:15-10:30,2675.65,2135.85,0,0,0,0,"",173.5,301.10,50.02,11500.93
2020-05-24,43,10:30-10:45,2679.29,2225.05,0,0,0,0,"",0,301.10,50.00,11447.74
2020-05-24,44,10:45-11:00,2736.90,2322.33,0,0,0,0,"",10,301.10,49.97,11401.50
2020-05-24,45,11:00-11:15,2788.28,2401.69,0,0,0,0,"",10,299.71,50.02,11102.26
2020-05-24,46,11:15-11:30,2810.51,2456.54,0,0,0,0,"",29,299.71,50.00,11151.15
2020-05-24,47,11:30-11:45,2836.17,2506.49,0,0,0,0,"",29,299.71,49.99,11121.98
2020-05-24,48,11:45-12:00,2841.21,2538.69,0,0,0,0,"",29,299.71,50.00,11118.94
2020-05-24,49,12:00-12:15,2909.75,2549.49,0,0,0,0,"",24,298.65,50.03,10968.79
2020-05-24,50,12:15-12:30,2904.56,2569.71,0,0,0,0,"",27,298.65,49.99,11055.62
2020-05-24,51,12:30-12:45,2913.06,2573.82,0,0,0,0,"",37,298.65,50.02,11093.29
2020-05-24,52,12:45-13:00,2909.66,2580.28,0,0,0,0,"",37,414.46,50.00,11037.20
2020-05-24,53,13:00-13:15,2888.50,2584.66,0,0,0,0,"",42,413.67,50.02,10931.60
2020-05-24,54,13:15-13:30,2868.34,2581.64,0,0,0,0,"",42,413.67,50.04,10849.99
2020-05-24,55,13:30-13:45,2880.38,2584.49,0,0,0,0,"",42,319.41,50.04,10860.76
2020-05-24,56,13:45-14:00,2861.74,2547.64,0,0,0,0,"",42,297.86,49.99,10844.02
2020-05-24,57,14:00-14:15,2823.55,2533.52,0,0,0,0,"",42,297.86,50.00,10851.22
2020-05-24,58,14:15-14:30,2779.64,2532.68,0,0,0,0,"",42,297.86,49.97,10863.52
2020-05-24,59,14:30-14:45,2719.12,2414.23,0,0,0,0,"",0,297.46,50.00,10854.26
2020-05-24,60,14:45-15:00,2640.54,2368.95,0,0,0,0,"",0,297.46,49.99,10868.98
2020-05-24,61,15:00-15:15,2540.11,2268.86,0,0,0,0,"",0,297.46,50.02,10873.48
2020-05-24,62,15:15-15:30,2437.69,2114.01,0,0,0,0,"",0,297.46,49.98,10849.57
2020-05-24,63,15:30-15:45,2341.21,2083.47,0,0,0,0,"",0,297.46,49.95,10868.95
2020-05-24,64,15:45-16:00,2232.29,1894.12,0,0,0,0,"",0,297.46,49.99,10844.20
2020-05-24,65,16:00-16:15,2114.02,1740.35,0,0,0,0,"",0,297.62,49.98,10585.23
2020-05-24,66,16:15-16:30,1985.91,1603.81,0,0,0,0,"",0,297.62,49.99,10648.51
2020-05-24,67,16:30-16:45,1836.64,1556.35,0,0,0,0,"",0,297.62,49.99,10539.85
2020-05-24,68,16:45-17:00,1691.85,1362.09,0,0,0,0,"",0,297.62,50.02,10351.03
2020-05-24,69,17:00-17:15,1564.15,1280.76,0,0,0,0,"",0,297.82,50.04,9882.08
2020-05-24,70,17:15-17:30,1417.48,1131.11,0,0,0,0,"",0,297.82,50.03,9727.58
2020-05-24,71,17:30-17:45,1252.62,969.93,0,0,0,0,"",0,297.82,50.02,9420.86
2020-05-24,72,17:45-18:00,1108.13,810.51,0,0,0,0,"",0,399.64,49.99,9207.68
2020-05-24,73,18:00-18:15,953.19,657.63,0,0,0,0,"",171,506.65,50.01,8748.23
2020-05-24,74,18:15-18:30,830.96,546.86,0,0,0,0,"",352,488.28,50.06,8619.06
2020-05-24,75,18:30-18:45,747.78,444.43,0,0,0,0,"",520,488.37,50.07,8539.61
2020-05-24,76,18:45-19:00,687.11,369.63,0,0,0,0,"",556,494.30,50.02,8539.03
2020-05-24,77,19:00-19:15,664.89,327.71,0,0,0,0,"",511.1,488.06,50.07,8538.37
2020-05-24,78,19:15-19:30,645.18,288.68,0,0,0,0,"",312,565.91,50.00,8706.84
2020-05-24,79,19:30-19:45,643.73,273.48,0,0,0,0,"",136,311.68,49.97,9081.49
2020-05-24,80,19:45-20:00,637.22,259.54,0,0,0,0,"",36,300.20,49.98,9446.47
2020-05-24,81,20:00-20:15,642.44,250.78,0,0,0,0,"",0,301.64,49.99,9622.06
2020-05-24,82,20:15-20:30,658.18,270.11,0,0,0,0,"",0,301.64,49.96,9740.89
2020-05-24,83,20:30-20:45,661.79,269.21,0,0,0,0,"",0,301.64,49.94,9895.77
2020-05-24,84,20:45-21:00,692.62,283.14,0,0,0,0,"",0,301.64,49.97,9954.24
2020-05-24,85,21:00-21:15,669.20,268.05,0,0,0,0,"",0,302.23,49.92,9937.95
2020-05-24,86,21:15-21:30,719.87,290.69,0,0,0,0,"",0,302.23,49.99,9995.44
2020-05-24,87,21:30-21:45,789.83,364.78,0,0,0,0,"",0,302.23,50.01,9922.83
2020-05-24,88,21:45-22:00,862.71,623.53,0,0,0,0,"",0,302.23,50.00,9919.95
2020-05-24,89,22:00-22:15,980.14,996.48,0,0,0,0,"",0,303.36,49.92,10042.84
2020-05-24,90,22:15-22:30,1082.47,1436.08,0,0,0,0,"",0,303.36,50.01,10153.25
2020-05-24,91,22:30-22:45,1188.22,1808.42,0,0,0,0,"",0,303.36,49.93,10393.24
2020-05-24,92,22:45-23:00,1357.77,1991.79,0,0,0,0,"",0,303.36,49.95,10351.68
2020-05-24,93,23:00-23:15,1432.12,2019.89,0,0,0,0,"",0,442.10,49.96,10272.68
2020-05-24,94,23:15-23:30,1503.10,2013.74,0,0,0,0,"",60,507.41,49.94,10196.23
2020-05-24,95,23:30-23:45,1575.78,2013.81,0,0,0,0,"",160,609.33,50.01,10176.06
2020-05-24,96,23:45-24:00,1662.67,2012.93,0,0,0,0,"",60,609.33,50.03,10128.11
