Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-04,1,00:00-00:15,1432.922,1362,0,0,0,0,"",960.71,1384.877487,49.97,6684
2020-05-04,2,00:15-00:30,1400.900,1313,0,0,0,0,"",960.71,1299.108236,50.01,6622
2020-05-04,3,00:30-00:45,1318.803,1246,0,0,0,0,"",960.71,1449.41497,50.01,6547
2020-05-04,4,00:45-01:00,1251.543,1195,0,0,0,0,"",960.71,1478.743017,49.95,6460
2020-05-04,5,01:00-01:15,1210.230,1132,0,0,0,0,"",960.71,1543.853774,49.95,6430
2020-05-04,6,01:15-01:30,1184.302,1053,0,0,0,0,"",960.71,1785.719653,49.92,6381
2020-05-04,7,01:30-01:45,1294.400,954,0,0,0,0,"",960.71,1865.56708,49.92,6358
2020-05-04,8,01:45-02:00,1265.306,795,0,0,0,0,"",960.71,1901.779588,49.92,6283
2020-05-04,9,02:00-02:15,1237.285,691,0,0,0,0,"",960.71,1747.760577,49.93,6207
2020-05-04,10,02:15-02:30,1211.663,609,0,0,0,0,"",962.71,1560.666543,49.97,6147
2020-05-04,11,02:30-02:45,1191.006,552,0,0,0,0,"",960.71,1539.713583,49.93,6071
2020-05-04,12,02:45-03:00,1170.868,508,0,0,0,0,"",960.71,1398.296475,49.95,6048
2020-05-04,13,03:00-03:15,843.651,434,0,0,0,0,"",960.71,1366.189496,49.92,5982
2020-05-04,14,03:15-03:30,833.221,382,0,0,0,0,"",960.71,1235.834555,49.98,5965
2020-05-04,15,03:30-03:45,766.827,383,0,0,0,0,"",960.71,1198.28568,49.98,5936
2020-05-04,16,03:45-04:00,767.492,377,0,0,0,0,"",960.71,1304.111842,49.99,5872
2020-05-04,17,04:00-04:15,781.801,363,0,0,0,0,"",960.71,1372.973383,49.98,5734
2020-05-04,18,04:15-04:30,779.067,358,0,0,0,0,"",960.71,1368.926291,49.97,5847
2020-05-04,19,04:30-04:45,716.569,398,0,0,0,0,"",960.71,1228.128949,50.01,5901
2020-05-04,20,04:45-05:00,664.167,507,0,0,0,0,"",960.71,1198.733412,49.98,5978
2020-05-04,21,05:00-05:15,665.712,542,0,0,0,0,"",960.71,902.372121,50.02,6092
2020-05-04,22,05:15-05:30,660.685,562,0,0,0,0,"",960.71,887.915542,50.04,6382
2020-05-04,23,05:30-05:45,655.681,558,0,0,0,0,"",960.71,807.288121,49.99,6563
2020-05-04,24,05:45-06:00,663.892,562,0,0,0,0,"",898.71,687.330084,50.02,6723
2020-05-04,25,06:00-06:15,635.152,542,0,0,0,0,"",836.71,567.237872,49.97,6967
2020-05-04,26,06:15-06:30,640.946,517,0,0,0,0,"",774.71,530.608222,49.96,7360
2020-05-04,27,06:30-06:45,707.355,552,0,0,0,0,"",712.71,530.564325,50.04,7614
2020-05-04,28,06:45-07:00,787.565,634,0,0,0,0,"",667.71,530.423362,50.06,7867
2020-05-04,29,07:00-07:15,899.571,706,0,0,0,0,"",520.71,400.025626,50.08,8148
2020-05-04,30,07:15-07:30,1031.447,735,0,0,0,0,"",527.72,400.465723,50.08,8406
2020-05-04,31,07:30-07:45,1130.142,807,0,0,0,0,"",500.39,439.399497,50.01,8547
2020-05-04,32,07:45-08:00,1314.782,970,0,0,0,0,"",500.39,439.443394,50.03,8616
2020-05-04,33,08:00-08:15,1408.191,1163,0,0,0,0,"",569.71,439.384416,49.99,8644
2020-05-04,34,08:15-08:30,1554.086,1359,0,0,0,0,"",500.39,439.42101,49.98,8648
2020-05-04,35,08:30-08:45,1688.321,1147,0,0,0,0,"",423.39,438.981609,49.93,8526
2020-05-04,36,08:45-09:00,1822.467,1119,0,0,0,0,"",356.39,400.047139,49.98,8486
2020-05-04,37,09:00-09:15,1846.465,1209,0,0,0,0,"",356.39,400.003938,49.91,8505
2020-05-04,38,09:15-09:30,1977.530,1141,0,0,0,0,"",391.39,399.156786,49.97,8587
2020-05-04,39,09:30-09:45,1984.751,955,0,0,0,0,"",356.39,398.619331,50.00,8609
2020-05-04,40,09:45-10:00,2084.560,967,0,0,0,0,"",356.39,400.359689,50.00,8616
2020-05-04,41,10:00-10:15,2191.009,1151,0,0,0,0,"",243.38,399.087473,49.98,8433
2020-05-04,42,10:15-10:30,2262.890,1367,0,0,0,0,"",136,300.654855,50.01,8568
2020-05-04,43,10:30-10:45,2233.275,1610,0,0,0,0,"",36,300.662857,50.05,8565
2020-05-04,44,10:45-11:00,2283.852,1780,0,0,0,0,"",0,300.274913,50.05,8546
2020-05-04,45,11:00-11:15,2243.680,1702,0,0,0,0,"",0,300.528053,50.04,8400
