Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-26,1,00:00-00:15,2809.249,2376,0,0,0,0,"",765.15,791.484058,49.87,10483
2020-05-26,2,00:15-00:30,2809.718,2355,0,0,0,0,"",825,793.828454,49.93,10291
2020-05-26,3,00:30-00:45,2783.154,2388,0,0,0,0,"",885,794.224654,50.00,10254
2020-05-26,4,00:45-01:00,2736.810,2387,0,0,0,0,"",909,794.488974,50.02,10216
2020-05-26,5,01:00-01:15,2704.816,2365,0,0,0,0,"",970,791.011385,50.03,10162
2020-05-26,6,01:15-01:30,2681.775,2349,0,0,0,0,"",1031,776.160545,50.01,10148
2020-05-26,7,01:30-01:45,2558.175,2317,0,0,0,0,"",1092,773.416604,50.05,10150
2020-05-26,8,01:45-02:00,2548.656,2312,0,0,0,0,"",1153,766.993385,50.06,10156
2020-05-26,9,02:00-02:15,2540.584,2310,0,0,0,0,"",1187,692.761192,50.07,9958
2020-05-26,10,02:15-02:30,2532.654,2276,0,0,0,0,"",1187,689.828234,50.04,9589
2020-05-26,11,02:30-02:45,2523.511,2241,0,0,0,0,"",1187,692.14902,50.02,9494
2020-05-26,12,02:45-03:00,2498.946,2217,0,0,0,0,"",1187,673.409611,50.04,9463
2020-05-26,13,03:00-03:15,2392.839,2189,0,0,0,0,"",1187,788.65109,50.02,9344
2020-05-26,14,03:15-03:30,2368.755,2132,0,0,0,0,"",1187,1029.58215,50.01,9273
2020-05-26,15,03:30-03:45,2339.922,2103,0,0,0,0,"",1187,1108.008408,50.01,9158
2020-05-26,16,03:45-04:00,2318.620,2089,0,0,0,0,"",1187,1127.665289,50.03,9064
2020-05-26,17,04:00-04:15,2296.424,2061,0,0,0,0,"",1187,975.335149,50.01,8822
2020-05-26,18,04:15-04:30,2266.088,2054,0,0,0,0,"",1126,847.050595,50.03,9093
2020-05-26,19,04:30-04:45,2261.346,2029,0,0,0,0,"",928,628.06005,50.02,9128
2020-05-26,20,04:45-05:00,2226.332,2016,0,0,0,0,"",740,574.068013,50.02,9154
2020-05-26,21,05:00-05:15,2183.601,1972,0,0,0,0,"",655.15,575.939953,50.01,9188
2020-05-26,22,05:15-05:30,2151.410,1878,0,0,0,0,"",621.15,573.146467,49.96,9302
2020-05-26,23,05:30-05:45,2124.347,1847,0,0,0,0,"",667.15,573.146467,49.99,9568
2020-05-26,24,05:45-06:00,2063.497,1840,0,0,0,0,"",699.15,571.397769,49.98,9800
2020-05-26,25,06:00-06:15,2004.908,1835,0,0,0,0,"",699.15,571.749762,49.95,10208
2020-05-26,26,06:15-06:30,1996.449,1833,0,0,0,0,"",699.15,529.277137,50.04,10806
2020-05-26,27,06:30-06:45,2029.304,1816,0,0,0,0,"",723.5,526.700469,50.04,11205
2020-05-26,28,06:45-07:00,2081.586,1869,0,0,0,0,"",571.5,519.278506,50.03,11282
2020-05-26,29,07:00-07:15,2173.693,1979,0,0,0,0,"",433.5,517.184283,50.02,11443
2020-05-26,30,07:15-07:30,2276.318,2143,0,0,0,0,"",339.54,506.95825,50.02,11545
2020-05-26,31,07:30-07:45,2352.803,2393,0,0,0,0,"",303.54,504.848742,50.02,11567
2020-05-26,32,07:45-08:00,2479.509,2618,0,0,0,0,"",531.39,504.721064,50.04,11685
2020-05-26,33,08:00-08:15,2593.468,2795,0,0,0,0,"",679.39,609.82939,50.06,11777
2020-05-26,34,08:15-08:30,2726.632,2923,0,0,0,0,"",869.39,606.805098,50.02,11773
2020-05-26,35,08:30-08:45,2845.449,3069,0,0,0,0,"",846.39,616.547338,50.06,11738
2020-05-26,36,08:45-09:00,2970.405,3241,0,0,0,0,"",913.77,659.486792,50.03,11708
2020-05-26,37,09:00-09:15,3156.140,3362,0,0,0,0,"",976.77,777.109809,50.02,11627
2020-05-26,38,09:15-09:30,3266.248,3488,0,0,0,0,"",1039.77,894.057355,50.01,11746
2020-05-26,39,09:30-09:45,3481.314,3583,0,0,0,0,"",1102.77,953.059268,49.98,11799
2020-05-26,40,09:45-10:00,3553.889,3667,0,0,0,0,"",1163.77,1100.184127,50.01,11795
2020-05-26,41,10:00-10:15,3615.921,3684,0,0,0,0,"",1163.77,1255.260979,49.98,11585
2020-05-26,42,10:15-10:30,3682.662,3755,0,0,0,0,"",1149.29,990.280209,50.01,11756
2020-05-26,43,10:30-10:45,3786.228,3832,0,0,0,0,"",1163.29,994.047526,50.02,11812
2020-05-26,44,10:45-11:00,3890.820,3905,0,0,0,0,"",1163.29,836.884802,49.99,11800
