Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-27,1,00:00-00:15,2531.345,2207,0,0,0,0,"",691.92,569.389406,50.02,10594
2020-05-27,2,00:15-00:30,2526.947,2232,0,0,0,0,"",777.29,568.688575,50.03,10493
2020-05-27,3,00:30-00:45,2530.811,2300,0,0,0,0,"",888.29,678.725863,50.01,10427
2020-05-27,4,00:45-01:00,2543.391,2350,0,0,0,0,"",910.29,677.198054,50.01,10343
2020-05-27,5,01:00-01:15,2497.785,2393,0,0,0,0,"",942.29,677.335728,50.01,10279
2020-05-27,6,01:15-01:30,2481.294,2413,0,0,0,0,"",974.29,675.916408,50.05,10218
2020-05-27,7,01:30-01:45,2557.245,2390,0,0,0,0,"",1006.29,791.034561,50.04,10202
2020-05-27,8,01:45-02:00,2563.900,2329,0,0,0,0,"",1007.29,1037.345549,50.04,10159
2020-05-27,9,02:00-02:15,2547.303,2296,0,0,0,0,"",1007.29,1122.394947,50.00,10074
2020-05-27,10,02:15-02:30,2528.731,2260,0,0,0,0,"",1007.29,1120.386721,50.00,10032
2020-05-27,11,02:30-02:45,2494.795,2266,0,0,0,0,"",1007.29,982.949224,49.99,10015
2020-05-27,12,02:45-03:00,2485.357,2262,0,0,0,0,"",1007.29,966.224046,50.00,9988
2020-05-27,13,03:00-03:15,2438.634,2261,0,0,0,0,"",1007.29,966.345647,49.98,9866
2020-05-27,14,03:15-03:30,2404.358,2260,0,0,0,0,"",1007.29,758.704508,49.98,9807
2020-05-27,15,03:30-03:45,2381.298,2255,0,0,0,0,"",1007.29,807.007223,50.01,9768
2020-05-27,16,03:45-04:00,2357.022,2270,0,0,0,0,"",1007.29,856.966797,50.04,9660
2020-05-27,17,04:00-04:15,2333.464,2286,0,0,0,0,"",1007.29,971.687846,50.03,9367
2020-05-27,18,04:15-04:30,2317.909,2285,0,0,0,0,"",1037.29,965.107116,50.02,9602
2020-05-27,19,04:30-04:45,2325.124,2279,0,0,0,0,"",1067.29,767.094964,50.03,9748
2020-05-27,20,04:45-05:00,2300.990,2264,0,0,0,0,"",1097.29,671.941266,50.00,9842
2020-05-27,21,05:00-05:15,2268.707,2279,0,0,0,0,"",1035.29,672.38956,50.01,10086
2020-05-27,22,05:15-05:30,2257.396,2284,0,0,0,0,"",973.29,632.97817,49.99,10462
2020-05-27,23,05:30-05:45,2246.417,2279,0,0,0,0,"",861.29,562.418539,50.04,10516
2020-05-27,24,05:45-06:00,2238.257,2269,0,0,0,0,"",779.29,528.100542,50.06,10556
2020-05-27,25,06:00-06:15,2311.712,2245,0,0,0,0,"",453.92,319.41665,50.03,10845
2020-05-27,26,06:15-06:30,2314.652,2251,0,0,0,0,"",309.5,319.154378,50.05,11294
2020-05-27,27,06:30-06:45,2338.687,2263,0,0,0,0,"",209.5,319.154378,50.12,11557
2020-05-27,28,06:45-07:00,2396.551,2313,0,0,0,0,"",173.5,319.376292,50.11,11691
2020-05-27,29,07:00-07:15,2506.028,2431,0,0,0,0,"",173.5,320.249519,50.14,11868
