Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-14,1,00:00-00:15,1525.387,985,0,0,0,0,"",0,298.505027,50.03,8728
2020-05-14,2,00:15-00:30,1502.088,939,0,0,0,0,"",0,298.505027,50.01,8605
2020-05-14,3,00:30-00:45,1505.576,909,0,0,0,0,"",0,298.901227,50.02,8557
2020-05-14,4,00:45-01:00,1526.923,870,0,0,0,0,"",0,298.901227,50.02,8474
2020-05-14,5,01:00-01:15,1423.767,861,0,0,0,0,"",0,298.901227,50.01,8356
2020-05-14,6,01:15-01:30,1392.622,843,0,0,0,0,"",0,298.901227,50.02,8297
2020-05-14,7,01:30-01:45,1204.932,795,0,0,0,0,"",0,298.901227,50.01,8188
2020-05-14,8,01:45-02:00,1191.863,739,0,0,0,0,"",0,298.901227,50.03,8132
2020-05-14,9,02:00-02:15,1207.667,671,0,0,0,0,"",0,436.999564,49.99,8027
2020-05-14,10,02:15-02:30,1203.343,634,0,0,0,0,"",0,436.999564,50.02,7951
2020-05-14,11,02:30-02:45,1194.425,636,0,0,0,0,"",0,418.624588,50.00,7877
2020-05-14,12,02:45-03:00,1124.408,674,0,0,0,0,"",0,299.297427,50.00,7800
2020-05-14,13,03:00-03:15,985.032,745,0,0,0,0,"",0,299.297427,49.99,7711
2020-05-14,14,03:15-03:30,976.289,823,0,0,0,0,"",0,299.297427,50.02,7717
2020-05-14,15,03:30-03:45,984.127,837,0,0,0,0,"",0,299.297427,50.03,7624
2020-05-14,16,03:45-04:00,985.835,806,0,0,0,0,"",0,299.297427,50.07,7517
2020-05-14,17,04:00-04:15,988.732,791,0,0,0,0,"",0,298.505027,50.03,7343
2020-05-14,18,04:15-04:30,991.354,769,0,0,0,0,"",0,298.505027,50.03,7496
2020-05-14,19,04:30-04:45,979.987,757,0,0,0,0,"",0,298.505027,50.02,7607
2020-05-14,20,04:45-05:00,976.764,733,0,0,0,0,"",0,298.505027,50.05,7650
2020-05-14,21,05:00-05:15,1045.154,673,0,0,0,0,"",0,298.505027,50.04,7802
2020-05-14,22,05:15-05:30,1012.659,642,0,0,0,0,"",0,298.505027,50.01,8085
2020-05-14,23,05:30-05:45,1029.149,634,0,0,0,0,"",0.5,298.505027,49.99,8265
2020-05-14,24,05:45-06:00,1041.799,649,0,0,0,0,"",0.5,298.505027,50.01,8431
2020-05-14,25,06:00-06:15,941.463,682,0,0,0,0,"",0.5,296.984327,50.04,8762
2020-05-14,26,06:15-06:30,957.146,720,0,0,0,0,"",0,296.984327,50.06,9227
2020-05-14,27,06:30-06:45,1038.287,770,0,0,0,0,"",0,296.984327,50.08,9550
2020-05-14,28,06:45-07:00,1154.750,844,0,0,0,0,"",0,296.984327,50.07,9749
