Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-22,1,00:00-00:15,1765.576,1967,0,0,0,0,"",730.42,709.389181,50.00,9853
2020-05-22,2,00:15-00:30,1904.157,1920,0,0,0,0,"",923.42,704.693729,50.01,9756
2020-05-22,3,00:30-00:45,1904.476,1903,0,0,0,0,"",965.42,702.768294,50.02,9680
2020-05-22,4,00:45-01:00,1911.433,1893,0,0,0,0,"",965.42,711.455928,50.01,9579
2020-05-22,5,01:00-01:15,2114.145,1923,0,0,0,0,"",965.42,704.36627,50.02,9403
2020-05-22,6,01:15-01:30,2118.617,1932,0,0,0,0,"",994.42,702.051061,50.03,9325
2020-05-22,7,01:30-01:45,2089.265,1880,0,0,0,0,"",1056.42,701.623647,50.03,9212
2020-05-22,8,01:45-02:00,2120.210,1857,0,0,0,0,"",1118.42,701.623308,50.02,9117
2020-05-22,9,02:00-02:15,2148.255,1825,0,0,0,0,"",1180.42,802.913637,50.00,9003
2020-05-22,10,02:15-02:30,2156.220,1815,0,0,0,0,"",1215.42,903.309837,50.03,8948
2020-05-22,11,02:30-02:45,2140.973,1819,0,0,0,0,"",1215.42,903.846284,49.99,8905
2020-05-22,12,02:45-03:00,2084.289,1782,0,0,0,0,"",1215.42,916.256544,50.02,8800
2020-05-22,13,03:00-03:15,2053.968,1765,0,0,0,0,"",1215.42,914.869276,50.00,8650
2020-05-22,14,03:15-03:30,2014.104,1783,0,0,0,0,"",1215.42,914.335652,50.03,8578
2020-05-22,15,03:30-03:45,1975.021,1867,0,0,0,0,"",1215.42,1018.148926,50.02,8510
2020-05-22,16,03:45-04:00,1939.442,1883,0,0,0,0,"",1215.42,1018.148926,50.05,8351
2020-05-22,17,04:00-04:15,1874.960,1820,0,0,0,0,"",1215.42,1479.029022,50.01,8111
2020-05-22,18,04:15-04:30,1825.561,1727,0,0,0,0,"",1215.42,1495.808666,50.00,8312
2020-05-22,19,04:30-04:45,1757.233,1674,0,0,0,0,"",1215.42,1290.338654,50.03,8464
2020-05-22,20,04:45-05:00,1725.881,1616,0,0,0,0,"",1215.42,1015.080217,50.01,8570
2020-05-22,21,05:00-05:15,1678.108,1574,0,0,0,0,"",1215.42,843.926348,49.98,8764
2020-05-22,22,05:15-05:30,1639.126,1559,0,0,0,0,"",1083.42,573.338809,50.01,9179
2020-05-22,23,05:30-05:45,1617.319,1571,0,0,0,0,"",951.43,507.192586,50.00,9349
2020-05-22,24,05:45-06:00,1592.742,1596,0,0,0,0,"",862.1,477.144891,50.04,9514
2020-05-22,25,06:00-06:15,1601.055,1615,0,0,0,0,"",636.1,456.581368,50.05,9785
2020-05-22,26,06:15-06:30,1599.793,1605,0,0,0,0,"",421.1,473.000623,50.05,10205
2020-05-22,27,06:30-06:45,1626.023,1615,0,0,0,0,"",330.1,463.539291,50.05,10481
2020-05-22,28,06:45-07:00,1673.458,1610,0,0,0,0,"",270.1,475.063613,50.05,10622
2020-05-22,29,07:00-07:15,1751.426,1625,0,0,0,0,"",435.1,471.629343,50.06,10846
2020-05-22,30,07:15-07:30,1852.100,1696,0,0,0,0,"",590.1,471.190559,50.01,11030
2020-05-22,31,07:30-07:45,2024.347,1753,0,0,0,0,"",678.1,480.634074,50.01,11096
2020-05-22,32,07:45-08:00,2149.857,1836,0,0,0,0,"",735.1,445.683993,50.08,11153
2020-05-22,33,08:00-08:15,2254.994,1943,0,0,0,0,"",735.1,445.692959,50.06,11151
2020-05-22,34,08:15-08:30,2364.573,2055,0,0,0,0,"",658.1,445.8202,50.02,11107
2020-05-22,35,08:30-08:45,2477.699,2144,0,0,0,0,"",591.1,445.356697,50.04,11061
2020-05-22,36,08:45-09:00,2565.597,2262,0,0,0,0,"",591.1,445.050447,50.04,10998
2020-05-22,37,09:00-09:15,2496.949,2379,0,0,0,0,"",592.1,490.163331,50.01,10959
