Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-21,1,00:00-00:15,866.321,795,0,0,0,0,"",0,317.515627,50.06,9499
2020-05-21,2,00:15-00:30,874.075,827,0,0,0,0,"",0,317.515627,50.05,9216
2020-05-21,3,00:30-00:45,890.597,832,0,0,0,0,"",1,317.911827,50.04,9333
2020-05-21,4,00:45-01:00,912.205,875,0,0,0,0,"",0,317.911827,50.05,9330
2020-05-21,5,01:00-01:15,941.255,933,0,0,0,0,"",0,317.911827,50.05,9213
2020-05-21,6,01:15-01:30,973.222,940,0,0,0,0,"",0,317.911827,50.06,9142
2020-05-21,7,01:30-01:45,902.761,917,0,0,0,0,"",0,317.911827,50.05,9053
2020-05-21,8,01:45-02:00,995.469,899,0,0,0,0,"",70.1,465.279749,50.07,9008
2020-05-21,9,02:00-02:15,1110.552,892,0,0,0,0,"",82.1,609.793363,50.07,8953
2020-05-21,10,02:15-02:30,1127.380,898,0,0,0,0,"",82.1,609.096914,50.05,8848
2020-05-21,11,02:30-02:45,1141.723,854,0,0,0,0,"",82.1,609.096914,50.04,8769
2020-05-21,12,02:45-03:00,1260.053,826,0,0,0,0,"",82.1,609.184502,50.05,8734
2020-05-21,13,03:00-03:15,1211.495,801,0,0,0,0,"",82.1,609.096914,50.07,8624
2020-05-21,14,03:15-03:30,1212.988,787,0,0,0,0,"",82.1,609.09541,50.06,8558
2020-05-21,15,03:30-03:45,1210.136,805,0,0,0,0,"",118.6,609.09541,50.07,8472
2020-05-21,16,03:45-04:00,1205.843,788,0,0,0,0,"",205.6,609.187545,50.07,8328
2020-05-21,17,04:00-04:15,1254.592,780,0,0,0,0,"",369.6,607.219876,50.06,8135
2020-05-21,18,04:15-04:30,1251.000,775,0,0,0,0,"",483.6,595.390936,50.05,8307
2020-05-21,19,04:30-04:45,959.926,763,0,0,0,0,"",624.45,595.613359,50.05,8392
