Date,Block No.,Time-Block,Schedule before Curtailment,Actual SCADA,Wind Curtailment Max MW,Wind Curtailment Energy,Solar Curtailment Max MW,Solar Curtailment Energy,Reason for curtailment,Backing down of own thermal generation (MW),Reduction in drwal from Centeral Sector,Frequency,Demand
2020-05-09,1,00:00-00:15,2494.827,2147,0,0,0,0,"",575.45,445.363674,50.00,8532
2020-05-09,2,00:15-00:30,2507.579,2134,0,0,0,0,"",709.45,451.859674,50.02,8471
2020-05-09,3,00:30-00:45,2510.851,2115,0,0,0,0,"",773.3,577.627421,50.02,8421
2020-05-09,4,00:45-01:00,2508.596,2107,0,0,0,0,"",833.3,696.480291,49.99,8315
2020-05-09,5,01:00-01:15,2470.768,2087,0,0,0,0,"",857.3,693.798463,50.01,8245
2020-05-09,6,01:15-01:30,2456.576,2039,0,0,0,0,"",857.3,702.664889,50.01,8165
2020-05-09,7,01:30-01:45,2361.965,1941,0,0,0,0,"",857.3,681.017655,50.01,8117
2020-05-09,8,01:45-02:00,2354.883,1858,0,0,0,0,"",857.3,681.017655,50.00,8034
2020-05-09,9,02:00-02:15,2328.361,1817,0,0,0,0,"",907.3,635.599664,49.96,7973
2020-05-09,10,02:15-02:30,2304.050,1822,0,0,0,0,"",935.3,499.06157,49.96,7925
2020-05-09,11,02:30-02:45,2302.432,1809,0,0,0,0,"",893.3,607.766671,49.92,7841
2020-05-09,12,02:45-03:00,2252.460,1744,0,0,0,0,"",906.3,624.327672,49.92,7762
2020-05-09,13,03:00-03:15,2175.797,1680,0,0,0,0,"",882.3,1044.433544,49.86,7651
2020-05-09,14,03:15-03:30,2121.653,1613,0,0,0,0,"",897.3,899.191871,49.98,7613
2020-05-09,15,03:30-03:45,2065.640,1526,0,0,0,0,"",882.3,939.423601,50.03,7607
2020-05-09,16,03:45-04:00,2042.263,1460,0,0,0,0,"",902.8,817.126886,50.01,7565
2020-05-09,17,04:00-04:15,1935.385,1353,0,0,0,0,"",902.8,931.194197,49.96,7346
2020-05-09,18,04:15-04:30,1859.975,1237,0,0,0,0,"",843.8,572.597513,49.94,7473
2020-05-09,19,04:30-04:45,1788.970,1126,0,0,0,0,"",782.8,425.058012,49.98,7615
2020-05-09,20,04:45-05:00,1760.301,1077,0,0,0,0,"",615.95,406.646658,50.00,7716
2020-05-09,21,05:00-05:15,1733.600,1037,0,0,0,0,"",554,399.222658,50.01,7840
2020-05-09,22,05:15-05:30,1689.027,980,0,0,0,0,"",509,274.014727,49.93,8168
2020-05-09,23,05:30-05:45,1661.178,878,0,0,0,0,"",464,274.014727,49.97,8427
2020-05-09,24,05:45-06:00,1572.701,778,0,0,0,0,"",463,273.830727,50.02,8595
2020-05-09,25,06:00-06:15,1336.787,682,0,0,0,0,"",463,276.948427,49.99,8927
2020-05-09,26,06:15-06:30,1332.766,677,0,0,0,0,"",463,276.948427,49.95,9379
2020-05-09,27,06:30-06:45,1366.476,694,0,0,0,0,"",463,276.948427,50.02,9729
2020-05-09,28,06:45-07:00,1359.751,688,0,0,0,0,"",468,276.948427,50.04,9910
2020-05-09,29,07:00-07:15,1442.503,712,0,0,0,0,"",463,276.948427,49.98,10187
2020-05-09,30,07:15-07:30,1546.470,797,0,0,0,0,"",463,276.552227,49.96,10363
2020-05-09,31,07:30-07:45,1437.144,917,0,0,0,0,"",463,276.552227,49.98,10389
2020-05-09,32,07:45-08:00,1588.925,1072,0,0,0,0,"",463,276.552227,50.05,10405
2020-05-09,33,08:00-08:15,1699.365,1299,0,0,0,0,"",463,274.696227,50.03,10454
2020-05-09,34,08:15-08:30,1838.930,1472,0,0,0,0,"",463,274.696227,50.06,10492
2020-05-09,35,08:30-08:45,1990.798,1639,0,0,0,0,"",463,274.696227,50.06,10474
2020-05-09,36,08:45-09:00,2150.506,1770,0,0,0,0,"",463,274.300027,50.01,10393
2020-05-09,37,09:00-09:15,2138.936,1876,0,0,0,0,"",463,274.300027,49.95,10347
